date,cloud_cover,valid_pixel_ratio,exported,drive_folder,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndbi_mean,ndbi_min,ndbi_max,ndbi_std,ndwi_mean,ndwi_min,ndwi_max,ndwi_std
2023-07-07,32.23,94.90169579065163,True,MasterResearch_Data_INDICES_hanoi_2023,0.5117378356666399,-0.9993631925281262,0.9940030507735889,0.26282886123993016,-0.23751082710270177,-0.9722822993739332,0.9943502824858805,0.16676361793986902,-0.48190427239739975,-0.9993647232153116,0.999658567120014,0.23709835789542413
2023-07-07,8.38,99.57289216878868,True,MasterResearch_Data_INDICES_hanoi_2023,0.5238728474128486,-0.9992683819046464,0.9986936642717189,0.24563009477651984,-0.26450810993840435,-0.9972325603588127,0.9957567185289994,0.16299907182843557,-0.4877413885159899,-0.9375727063883865,0.9996482176360229,0.22035748542658706
2023-07-16,65.82,0.0,False,MasterResearch_Data_INDICES_hanoi_2023,,,,,,,,,,,,
2023-07-16,99.91,0.0,False,MasterResearch_Data_INDICES_hanoi_2023,,,,,,,,,,,,
2023-07-23,20.97,85.7296182735489,True,MasterResearch_Data_INDICES_hanoi_2023,0.5541518182128402,-0.9996400935756706,0.9994194484760528,0.26606319528116906,-0.23795671202490118,-0.9935781097305602,0.9969954932398624,0.16483561632929503,-0.5176638884988554,-0.9804485336400226,0.9997570948544595,0.24266108386613272
2023-07-23,10.9,91.42060077603519,True,MasterResearch_Data_INDICES_hanoi_2023,0.5836931891035115,-0.9993963175369761,0.9928017718715396,0.24089080923765385,-0.26585855902250294,-0.9997074597757194,0.9894179894179983,0.16016365496137955,-0.5355674844792007,-0.9451574203824866,0.9997282977856272,0.22001265626803693
2023-08-08,80.04,47.380952175485135,False,MasterResearch_Data_INDICES_hanoi_2023,0.5561283380756231,-0.9992624462200375,0.9996804820157019,0.2603398436292863,-0.230302306296882,-0.9978738483345163,0.9988308651597827,0.17577262668254093,-0.5131279342288723,-0.9981478142569128,0.9992644354542117,0.2332585122593366
2023-08-08,94.54,0.0,False,MasterResearch_Data_INDICES_hanoi_2023,,,,,,,,,,,,
2023-08-17,21.62,84.24136682358363,True,MasterResearch_Data_INDICES_hanoi_2023,0.6095060229461601,-0.9100748165903969,0.9963604183026087,0.24018596764689842,-0.2723963818342408,-0.6423887087001463,0.8103844386582931,0.1374696300989748,-0.5480503365798411,-0.9017996000888691,0.6946225949679317,0.2106512367623869
2023-08-17,16.55,91.89804209047313,True,MasterResearch_Data_INDICES_hanoi_2023,0.5893518262592755,-0.5921462097897289,0.99764650059312,0.24708146915902157,-0.29693964131298245,-0.8368942157373638,0.3068779797480181,0.14035559050050508,-0.5307802852609366,-0.8265337003357783,0.5911538902257363,0.21956088550036162
2023-08-24,100.0,0.0,False,MasterResearch_Data_INDICES_hanoi_2023,,,,,,,,,,,,
2023-08-24,88.56,0.0,False,MasterResearch_Data_INDICES_hanoi_2023,,,,,,,,,,,,
